Gesamt,Inzidenz A00..04,Inzidenz A05..14,Inzidenz A15..34,Inzidenz A35..59,Inzidenz A60..79,Inzidenz A80+,Meldedatum
1.08,0.22674948565658334,0.38622060761291427,1.3688283019996732,1.604679188699319,0.6775613015324619,0.32005746210603875,2020-03-02
7.73,0.8818035553311576,2.10423641389105,8.387376506847417,12.526962970911423,5.084464075727336,2.274092493911328,2020-03-09
26.92,3.602797383210158,5.6201757383672355,31.84771948976846,39.499527073135624,20.233192362022216,13.290807242192871,2020-03-16
40.85,6.399374372974687,8.376991799604244,45.065632938807774,53.07301994972052,38.02055368436628,41.0515807974956,2020-03-23
43.36,6.802484569697501,9.6155613343629,43.4325520688545,50.88926087988188,42.22363720525463,77.2349191450625,2020-03-30
32.63,5.9710697889566955,7.191694072792196,33.09499161050947,36.4436597485691,28.969877111863553,73.81535783940325,2020-04-06
20.83,3.980713192637797,5.28722693870093,22.662300227701152,21.97015115310502,17.78736132234406,49.65944201518958,2020-04-13
14.85,4.686156036902722,4.56805753142171,17.218697327856894,14.975842950187339,12.025335945084263,35.0547146654035,2020-04-20
8.93,3.3508535102583985,3.409395708582967,11.098607854051405,9.017599353886391,7.1226566087924645,17.855837359600056,2020-04-27
7.5,3.4768254467342783,3.0764469089166617,9.3756811109939,8.040838108591151,5.629818294033951,12.869679002579662,2020-05-04
5.72,2.922548926240408,3.0364930529567054,7.330366235032999,6.181503309511289,3.784427757339848,9.53434334484305,2020-05-11
4.33,3.0737152500114635,2.477139069517312,5.956252881674254,4.475659563263536,2.732279720000822,6.434839501289831,2020-05-18
3.85,2.191911694680306,3.089764860903314,5.448887951203332,4.001232672691563,2.4017620119362064,4.548184987822656,2020-05-25
2.83,2.6957994405838246,2.7035442532904,4.3178869603619034,2.738419919845577,1.498346943226257,2.8468268997852917,2020-06-01
2.82,2.7713826024693526,3.222944380769836,4.376022525311696,2.707024022675373,1.255967290645539,2.66153047435548,2020-06-08
5.04,4.005907579932972,4.914324283074667,7.658039419295469,6.118711515170881,1.718692081936001,2.45938891934114,2020-06-15
3.79,3.4012422848487507,3.78229836420923,5.623294646052711,4.482636429301358,1.48732968629077,1.8866545134671757,2020-06-22
3.23,3.602797383210158,3.009857148983401,5.1106446642227175,3.4849445858926513,1.3826657454036417,1.701358088037364,2020-06-29
2.91,3.7035749323908616,2.889995581103531,4.603279733751797,3.000052396263944,1.3881743738713852,1.1960042005015132,2020-07-06
3.64,3.5272142213246305,3.7689804122225774,5.824126597697451,3.917510280237685,1.5809763702424109,1.4992165330230236,2020-07-13
4.72,4.0814907418185005,4.56805753142171,7.4783476730870175,5.400094313275099,1.9610717345167188,1.7182032176218922,2020-07-20
5.81,3.7791580942763896,5.993078393993497,9.618793473511216,6.425693620835099,2.186925501694206,2.86367202936982,2020-07-27
7.28,4.736544811493075,8.656668791323941,12.742258826722825,7.608272414246119,2.594564008307232,2.3077827530803847,2020-08-03
9.56,6.953650893468557,12.718644147252867,18.21757203472152,9.254812799172377,2.4954086958878476,2.7289109926935935,2020-08-10
11.54,7.155205991829964,12.731962099239517,24.126259454164124,11.023448339760538,2.8810126886298986,1.768738606375477,2020-08-17
10.62,5.593153979529056,11.120489908854601,22.440328070620126,10.032733362389655,2.9360989733073346,1.8698093838826473,2020-08-24
10.36,5.719125916004936,10.015099893962466,21.737416239863535,9.93505723786013,3.0627974280654375,1.8361191247135908,2020-08-31
11.74,5.6939315287097605,10.960674485014774,22.614734765469503,11.515317395427068,4.742929110727233,4.413423951146429,2020-09-07
14.78,7.30637231560102,11.626572084347385,27.709524275615006,14.947935486036046,6.715018102179439,6.24954307586002,2020-09-14
15.71,7.507927413962427,13.011639090959216,28.36487064413995,16.151444877560536,7.42012254605062,7.192870332593607,2020-09-21
19.15,8.23856464552253,15.249055024716787,33.47551530836266,19.943371569117406,9.865953585728775,10.090232621132484,2020-09-28
31.41,13.176664555377013,23.479549352467856,52.359003814327274,34.44478762873277,16.779282312746982,16.17132440114722,2020-10-05
50.58,22.423004692706577,34.98625986893537,82.81675479665977,54.789328995025,28.87072179944417,31.4835471934835,2020-10-12
90.03,36.68302790177616,61.076127810787064,139.86359916648397,100.0970970446484,53.20233374146761,65.30856739921643,2020-10-19
133.49,56.1079005063568,91.58755581220728,198.2581316328716,150.3340209499938,82.98748786655723,102.4857683922705,2020-10-26
151.2,60.819250930554695,108.5013548352556,220.719599908928,168.99016073513283,95.61877294309328,125.27722872013737,2020-11-02
153.68,60.768862155964335,119.54193703219028,216.19559594556227,170.1239014662791,96.55523978260969,150.59545848568348,2020-11-09
154.38,60.03822492440424,122.84478912488004,203.01467785603646,171.6936963247893,100.17991731438498,181.89370925373717,2020-11-16
148.1,58.32500658833228,120.07465511165638,183.68195998455073,163.2133156558153,98.08663849664241,208.5258591268765,2020-11-23
154.36,58.047868328085336,117.79728532193886,187.65631860657297,167.93316553040265,105.86482189309636,239.75672937659206,2020-11-30
187.95,67.04226459246316,132.5535761231495,221.51764266414787,206.8431474233422,132.15750556963653,309.61348176363117,2020-12-07
210.1,77.95143429127432,127.85233907186128,241.5162770068767,232.28777786328314,156.88023013286977,356.44294200862,2020-12-14
167.08,53.05937964364051,85.394708138414,181.9273229333388,185.37184219194154,133.92577530778223,310.977937259978,2020-12-21
147.98,38.371051850552945,61.15603552270698,164.68220034868656,161.44816854824603,121.17880903342355,293.54322813999113,2020-12-28
174.9,47.86933586083426,76.21863921961064,209.52057607905422,188.0788662146169,138.05173803012215,322.3483997295346,2021-01-04
142.95,46.71039404525617,65.37782630247573,166.50025801620734,151.24799040094862,109.84205164680725,290.6290207218677,2021-01-11
114.86,42.7044864653232,55.069731464806914,127.06848982617043,124.10100464777885,89.88979933663994,230.9804168630528,2021-01-18
93.95,38.497023787028816,46.919144848975755,104.68101226914102,102.22852961920336,74.62538985252245,174.95351586491148,2021-01-25
77.63,38.09391359030601,44.348780115551875,88.19165202883609,84.90148281426961,60.64449080138921,128.86524132164192,2021-02-01
61.09,33.93683968660198,37.2902655626262,71.91369384289402,67.76629982537602,46.14027204582033,88.18425337500594,2021-02-08
63.0,34.69267130545725,41.578646102328214,77.08247407206655,70.37913615654078,47.36869619412715,76.1062954628991,2021-02-15
67.75,47.5166144387018,51.68697166019725,84.28071402312274,76.5711047651088,48.74585331106305,64.11256319871492,2021-02-22
70.19,59.735892276862124,67.1091600607405,88.60917108620279,79.26417505570853,45.89238376477187,52.62418482206658,2021-03-01
85.76,75.38160678716639,87.23258551257202,111.06006925954105,97.37960772291628,53.16928197066116,53.63489259713829,2021-03-08
111.33,102.01207415816735,119.11576256861741,144.52501446518556,125.17893045062253,70.34518553308567,59.64860385881491,2021-03-15
139.81,126.55140738366869,165.54214319408703,179.70760136252852,157.5097276698949,85.58205187486445,68.23961994692436,2021-03-22
132.4,112.51813366025571,133.76550975393488,174.42255000345642,151.33171279340252,85.08627531276753,62.47858562901567,2021-03-29
142.23,101.40740886308312,131.56804767613724,193.98252508338226,164.55287393507734,91.87841421349539,63.118700553227754,2021-04-05
170.82,128.16384817055996,195.1479504604149,239.30712553878456,188.1695654731086,103.72196541914411,70.90115042127984,2021-04-12
174.06,140.4335147833106,228.45614837903213,233.87409274165842,193.3498885061923,100.48289188011087,67.3131378197753,2021-04-19
150.06,127.45840532629504,187.05063565253036,200.54127381999072,169.8238962266527,86.84903642244548,54.25816239176583,2021-04-26
121.43,103.57412617046825,155.7667664358843,161.75956694711968,135.94772318000253,70.41679770316635,46.50940278288279,2021-05-03
85.13,74.65096955560628,115.61314119612788,113.98270266110792,93.57721573230268,48.371266575256485,32.79746730107671,2021-05-10
63.36,57.896702004314285,95.5696234562163,87.42531958177064,66.74767738385384,33.712806222590785,23.66740706626234,2021-05-17
35.94,35.52408608619806,53.83116193004825,52.07361104093737,37.25646464197549,17.131834534682575,13.10551081676306,2021-05-24
24.87,25.79905259026015,41.41883067848839,35.96477449848562,25.134159901257814,11.21005893185821,8.355184273926065,2021-05-31
16.88,15.469353799238021,32.86870550305767,24.982437774333803,16.284005332279175,6.858242442340773,5.22199017120379,2021-06-07
8.75,9.59906155946203,16.42103479954218,13.535016530583642,8.204794460479995,3.244582167500976,2.6446853447709517,2021-06-14
5.8,6.474957534860214,10.641043637335121,9.328115648762251,5.358233117048161,2.082261560807078,1.5329067921920803,2021-06-21
5.24,4.33343461477026,7.3914633525919795,9.988747068646264,4.625662183076733,1.9004768213715395,1.1791590709169848,2021-06-28
6.7,4.509795325836492,6.725565753259368,14.99897575704661,5.560562232145031,2.0106493907264116,1.566597051361137,2021-07-05
10.94,6.50015192215539,11.440120756534254,26.393546487206052,8.417588874633601,2.5615122375007706,1.8529642542981193,2021-07-12
15.18,8.742452391426047,16.807255407155097,35.65295646830037,12.202538700152648,3.4098410215332837,2.5099243080947247,2021-07-19
18.64,13.151470168081834,23.08001079286829,40.35665217787453,15.596784027553596,4.990817391775695,3.8912249340260496,2021-07-26
24.55,19.046956795153005,35.21266505270846,50.99546056368667,20.86780631912897,5.81160303346949,5.474667114971716,2021-08-02
38.56,31.089873922247097,59.29152224457567,77.06661891798933,33.6389596013642,9.04516794403498,8.473100181017763,2021-08-09
59.67,47.03792108009346,120.98027584674873,109.81279713880004,52.23579602518174,12.388905423955341,11.016714748281546,2021-08-16
79.79,74.55019200642558,166.79403068083235,138.3467894264303,70.8396093150371,18.327206912182934,17.40101886081779,2021-08-23
89.8,86.01363822573063,205.3894555381505,145.29134691225102,79.41417767552173,22.66249751629714,24.37490250881253,2021-08-30
86.18,88.07957798393505,190.92615968064618,134.1028931850954,77.99089700380581,24.232456629604062,28.299817702007633,2021-09-06
73.9,71.42608798182376,175.90350983970245,108.94076366455313,66.27325049328188,22.46418689145837,28.67041055286726,2021-09-13
64.46,58.778505559645446,154.19524810145936,92.34570239706674,58.86730719413262,21.384495711780627,24.358057379228,2021-09-20
67.9,55.52842959856775,160.068464927573,93.48198843926725,63.85227797815724,24.6786555354913,29.613737809600845,2021-09-27
69.72,46.760782819846526,154.52819690112565,94.11090955099682,67.76629982537602,29.195730879041044,33.134369892767275,2021-10-04
